identity,prefix,nick,first,last,suffix,email,phone,phone2,managedBy,priority,bunit,category,watchlist,startDate,endDate
3comcso,,,,,,,,,,,,default|privileged,,,
adfexc,,,,,,,,,,,,default|privileged,,,
adm,,,,,,,,,,,,default|privileged,,,
admin|administrator,,,,,,,,,,,,default|privileged,,,
anonymous,,,,,,,,,,,,default|privileged,,,
adminuser,,,,,,,,,,,,default|privileged,,,
advmail,,,,,,,,,,,,default|privileged,,,
bciim,,,,,,,,,,,,default|privileged,,,
bcms,,,,,,,,,,,,default|privileged,,,
browse,,,,,,,,,,,,default|privileged,,,
cisco,,,,,,,,,,,,default|privileged,,,
cusadmin,,,,,,,,,,,,default|privileged,,,
cust,,,,,,,,,,,,default|privileged,,,
deskalt,,,,,,,,,,,,default|privileged,,,
oracle,,,,,,,,,,,,default|privileged,,,
dhs3mt,,,,,,,,,,,,default|privileged,,,
ftp_oper,,,,,,,,,,,,default|privileged,,,
gearguy,,,,,,,,,,,,default|privileged,,,
globaladmin,,,,,,,,,,,,default|privileged,,,
guest,,,,,,,,,,,,default|privileged,,,
halt,,,,,,,,,,,,default|privileged,,,
hello,,,,,,,,,,,,default|privileged,,,
hscroot,,,,,,,,,,,,default|privileged,,,
intrastack,,,,,,,,,,,,default|privileged,,,
local service,,,,,,,,,,,,default,,,
m1122,,,,,,,,,,,,default|privileged,,,
maintainer,,,,,,,,,,,,default|privileged,,,
md110,,,,,,,,,,,,default|privileged,,,
mgr,,,,,,,,,,,,default|privileged,,,
monitor,,,,,,,,,,,,default|privileged,,,
mtcl,,,,,,,,,,,,default|privileged,,,
network service,,,,,,,,,,,,default,,,
pmd,,,,,,,,,,,,default|privileged,,,
public,,,,,,,,,,,,default|privileged,,,
private,,,,,,,,,,,,default|privileged,,,
readonly,,,,,,,,,,,,default|privileged,,,
recovery,,,,,,,,,,,,default|privileged,,,
root,,,,,,,,,,,,default|privileged,,,
toor,,,,,,,,,,,,default|privileged,,,
rsbcmon,,,,,,,,,,,,default|privileged,,,
spoolman,,,,,,,,,,,,default|privileged,,,
superadmin,,,,,,,,,,,,default|privileged,,,
supervisor,,,,,,,,,,,,default|privileged,,,
sysadm,,,,,,,,,,,,default|privileged,,,
system,,,,,,,,,,,,default|privileged,,,
system/manager,,,,,,,,,,,,default|privileged,,,
tech,,,,,,,,,,,,default|privileged,,,
technician,,,,,,,,,,,,default|privileged,,,
userid,,,,,,,,,,,,default|privileged,,,
vt100,,,,,,,,,,,,default|privileged,,,
websecadm,,,,,,,,,,,,default|privileged,,,
wlseuser,,,,,,,,,,,,default|privileged,,,
wp,,,,,,,,,,,,default|privileged,,,
