mac,bunit,category,should_update,asset_id,dns,country,lat,should_timesync,city,nt_host,owner,requires_av,asset_tag,long,pci_domain,priority,key,ip,is_expected
00:15:70:91:df:6c,americas,,true,5b5333a3fde8f62d293f0b507bee16ac87eac950,,USA,38.959405,true,Washington D.C.,,,false,should_timesync,-77.04,untrust,medium,1.2.3.4,1.2.3.4,false
,,,,,,,,,,,,,americas,,,,1.2.3.4,,
,,,,,,,,,,,,,should_update,,,,1.2.3.4,,
00:15:70:91:df:6c,americas,,true,5b5333a3fde8f62d293f0b507bee16ac87eac950,,USA,38.959405,true,Washington D.C.,,,false,should_timesync,-77.04,untrust,medium,00:15:70:91:df:6c,1.2.3.4,false
,,,,,,,,,,,,,americas,,,,00:15:70:91:df:6c,,
,,,,,,,,,,,,,should_update,,,,00:15:70:91:df:6c,,
,americas,pci,true,cbdaa9b167fad2872e108c7cb9583d05d73b8979,CORP1.acmetech.com,USA,37.694452,true,Pleasanton,,,false,should_update,-121.894461,trust,high,CORP1.acmetech.com,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,CORP1.acmetech.com,,
,,,,,,,,,,,,,should_timesync,,,,CORP1.acmetech.com,,
,,,,,,,,,,,,,americas,,,,CORP1.acmetech.com,,
,,,,,,,,,,,,,cardholder,,,,CORP1.acmetech.com,,
,,,,,,,,,,,,,expected,,,,CORP1.acmetech.com,,
00:12:cf:30:27:b5,americas,nerc,true,52cb414d5c7cbd34d443c667f269011ac12ac9eb,,USA,32.931277,true,Dallas,millenium-falcon,,false,should_update,-96.818167,untrust,critical,5.6.7.8,5.6.7.8,true
,,sox,,,,,,,,,,,nerc,,,,5.6.7.8,,
,,,,,,,,,,,,,sox,,,,5.6.7.8,,
,,,,,,,,,,,,,should_timesync,,,,5.6.7.8,,
,,,,,,,,,,,,,americas,,,,5.6.7.8,,
,,,,,,,,,,,,,expected,,,,5.6.7.8,,
00:12:cf:30:27:b5,americas,nerc,true,52cb414d5c7cbd34d443c667f269011ac12ac9eb,,USA,32.931277,true,Dallas,millenium-falcon,,false,should_update,-96.818167,untrust,critical,00:12:cf:30:27:b5,5.6.7.8,true
,,sox,,,,,,,,,,,nerc,,,,00:12:cf:30:27:b5,,
,,,,,,,,,,,,,sox,,,,00:12:cf:30:27:b5,,
,,,,,,,,,,,,,should_timesync,,,,00:12:cf:30:27:b5,,
,,,,,,,,,,,,,americas,,,,00:12:cf:30:27:b5,,
,,,,,,,,,,,,,expected,,,,00:12:cf:30:27:b5,,
00:12:cf:30:27:b5,americas,nerc,true,52cb414d5c7cbd34d443c667f269011ac12ac9eb,,USA,32.931277,true,Dallas,millenium-falcon,,false,should_update,-96.818167,untrust,critical,millenium-falcon,5.6.7.8,true
,,sox,,,,,,,,,,,nerc,,,,millenium-falcon,,
,,,,,,,,,,,,,sox,,,,millenium-falcon,,
,,,,,,,,,,,,,should_timesync,,,,millenium-falcon,,
,,,,,,,,,,,,,americas,,,,millenium-falcon,,
,,,,,,,,,,,,,expected,,,,millenium-falcon,,
00:16:5d:10:08:9c,americas,email_servers,true,1e15fae67a30995a23733143debe963f03a3c431,,USA,37.694452,true,Pleasanton,,,false,should_timesync,-121.894461,untrust,high,9.10.11.12,9.10.11.12,false
,,,,,,,,,,,,,email_servers,,,,9.10.11.12,,
,,,,,,,,,,,,,americas,,,,9.10.11.12,,
,,,,,,,,,,,,,should_update,,,,9.10.11.12,,
00:16:5d:10:08:9c,americas,email_servers,true,1e15fae67a30995a23733143debe963f03a3c431,,USA,37.694452,true,Pleasanton,,,false,should_timesync,-121.894461,untrust,high,00:16:5d:10:08:9c,9.10.11.12,false
,,,,,,,,,,,,,email_servers,,,,00:16:5d:10:08:9c,,
,,,,,,,,,,,,,americas,,,,00:16:5d:10:08:9c,,
,,,,,,,,,,,,,should_update,,,,00:16:5d:10:08:9c,,
00:25:bc:42:f4:60-00:25:bc:42:f4:6F,americas,virtual,true,3a5a60d2e9c948964007e4c00dfa57cf1a88536f,,USA,32.931277,true,Dallas,,,false,virtual,-96.818167,untrust,critical,00:25:bc:42:f4:60-00:25:bc:42:f4:6F,,false
,,,,,,,,,,,,,should_timesync,,,,00:25:bc:42:f4:60-00:25:bc:42:f4:6F,,
,,,,,,,,,,,,,americas,,,,00:25:bc:42:f4:60-00:25:bc:42:f4:6F,,
,,,,,,,,,,,,,should_update,,,,00:25:bc:42:f4:60-00:25:bc:42:f4:6F,,
00:25:bc:42:f4:60-00:25:bc:42:f4:60,emea,pci,true,ece07ce51a7db41d7388bda97d32ae4f9767c96d,,UK,50.84436,true,Havant,,,false,pci,-0.98451,trust,low,00:25:bc:42:f4:60-00:25:bc:42:f4:60,,false
,,,,,,,,,,,,,should_timesync,,wireless,,00:25:bc:42:f4:60-00:25:bc:42:f4:60,,
,,,,,,,,,,,,,should_update,,,,00:25:bc:42:f4:60-00:25:bc:42:f4:60,,
,,,,,,,,,,,,,emea,,,,00:25:bc:42:f4:60-00:25:bc:42:f4:60,,
00:25:ac:42:f4:60-00:25:cc:42:f4:60,americas,,true,05c6862c49ba50a6f9465e214b907620c66dd6d5,,USA,38.959405,true,Washington D.C.,,,false,should_timesync,-77.04,untrust,medium,00:25:ac:42:f4:60-00:25:cc:42:f4:60,,false
,,,,,,,,,,,,,americas,,,,00:25:ac:42:f4:60-00:25:cc:42:f4:60,,
,,,,,,,,,,,,,should_update,,,,00:25:ac:42:f4:60-00:25:cc:42:f4:60,,
,americas,pci,true,e31c3b15a993febbfa04e8714cba46c1df3223f9,PA-dC02,USA,37.694452,true,Pleasanton,,,false,should_update,-121.894461,trust,high,PA-dC02,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,PA-dC02,,
,,,,,,,,,,,,,should_timesync,,,,PA-dC02,,
,,,,,,,,,,,,,americas,,,,PA-dC02,,
,,,,,,,,,,,,,cardholder,,,,PA-dC02,,
,,,,,,,,,,,,,expected,,,,PA-dC02,,
,americas,pci,true,992fee2f4c169d9ff391abcee442839c581bff5c,ACMEaPP,USA,32.931277,true,Dallas,,,false,should_update,-96.818167,trust,critical,ACMEaPP,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,ACMEaPP,,
,,,,,,,,,,,,,should_timesync,,,,ACMEaPP,,
,,,,,,,,,,,,,americas,,,,ACMEaPP,,
,,,,,,,,,,,,,cardholder,,,,ACMEaPP,,
,,,,,,,,,,,,,expected,,,,ACMEaPP,,
,emea,pci,true,fa862e2af938a38e985354a7c177906f7b0cab46,NCoRPNoDE1,UK,50.84436,true,Havant,,,false,should_update,-0.98451,trust,high,NCoRPNoDE1,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,NCoRPNoDE1,,
,,,,,,,,,,,,,should_timesync,,,,NCoRPNoDE1,,
,,,,,,,,,,,,,expected,,,,NCoRPNoDE1,,
,,,,,,,,,,,,,cardholder,,,,NCoRPNoDE1,,
,,,,,,,,,,,,,emea,,,,NCoRPNoDE1,,
,americas,pci,true,ce400fa1b19001e392dfa420f6729978d8bedfe6,,USA,38.959405,true,Washington D.C.,AcMEDC01,,false,should_update,-77.04,trust,high,AcMEDC01,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,AcMEDC01,,
,,,,,,,,,,,,,should_timesync,,,,AcMEDC01,,
,,,,,,,,,,,,,americas,,,,AcMEDC01,,
,,,,,,,,,,,,,cardholder,,,,AcMEDC01,,
,,,,,,,,,,,,,expected,,,,AcMEDC01,,
,americas,pci,true,b8b9c75c6a6c7696bbcf56746d83e922f5ec725b,,USA,37.694452,true,Pleasanton,macFISH,,false,should_update,-121.894461,trust,high,macFISH,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,macFISH,,
,,,,,,,,,,,,,should_timesync,,,,macFISH,,
,,,,,,,,,,,,,americas,,,,macFISH,,
,,,,,,,,,,,,,cardholder,,,,macFISH,,
,,,,,,,,,,,,,expected,,,,macFISH,,
,americas,pci,true,0f8b47a16e90a127428704a05c7116d8862411a2,,USA,38.959405,true,Washington D.C.,AcMEFW,,false,should_update,-77.04,trust,high,AcMEFW,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,AcMEFW,,
,,,,,,,,,,,,,should_timesync,,,,AcMEFW,,
,,,,,,,,,,,,,americas,,,,AcMEFW,,
,,,,,,,,,,,,,cardholder,,,,AcMEFW,,
,,,,,,,,,,,,,expected,,,,AcMEFW,,
,americas,pci,true,6fc64d63868cef412d5c4552ee6baccdf39389e5,,USA,38.959405,true,Washington D.C.,ns5gt-wlan,,false,should_update,-77.04,trust,high,ns5gt-wlan,,true
,,cardholder,,,,,,,,,,,pci,,cardholder,,ns5gt-wlan,,
,,,,,,,,,,,,,should_timesync,,,,ns5gt-wlan,,
,,,,,,,,,,,,,americas,,,,ns5gt-wlan,,
,,,,,,,,,,,,,cardholder,,,,ns5gt-wlan,,
,,,,,,,,,,,,,expected,,,,ns5gt-wlan,,
,americas,pci,true,dc36ea5e423c2879e47a99cf454ebd03d5679b23,,USA,37.694452,true,Pleasanton,,Bill_williams,false,should_update,-121.894461,trust,critical,10.11.36.20,10.11.36.20,true
,,splunk,,,,,,,,,,,pci,,,,10.11.36.20,,
,,,,,,,,,,,,,splunk,,,,10.11.36.20,,
,,,,,,,,,,,,,should_timesync,,,,10.11.36.20,,
,,,,,,,,,,,,,americas,,,,10.11.36.20,,
,,,,,,,,,,,,,expected,,,,10.11.36.20,,
,americas,pci,true,f96d4119f4f0899b74a459ccea452f61795165e7,,USA,37.694452,true,Pleasanton,ACMETREND,b.franklin,false,should_update,-121.894461,trust,critical,ACMETREND,,true
,,billing,,,,,,,,,,,pci,,,,ACMETREND,,
,,,,,,,,,,,,,should_timesync,,,,ACMETREND,,
,,,,,,,,,,,,,billing,,,,ACMETREND,,
,,,,,,,,,,,,,americas,,,,ACMETREND,,
,,,,,,,,,,,,,expected,,,,ACMETREND,,
,americas,pci,true,c83e2e936522a073c6b55e8568ab5daa1d90fecd,,USA,32.931277,true,Dallas,SJCDCSV012ERP01,,false,should_update,-96.818167,trust,critical,10.12.34.56,10.12.34.56,true
,,OracleDB,,,,,,,,,,,pci,,,,10.12.34.56,,
,,,,,,,,,,,,,should_timesync,,,,10.12.34.56,,
,,,,,,,,,,,,,OracleDB,,,,10.12.34.56,,
,,,,,,,,,,,,,americas,,,,10.12.34.56,,
,,,,,,,,,,,,,expected,,,,10.12.34.56,,
,americas,pci,true,c83e2e936522a073c6b55e8568ab5daa1d90fecd,,USA,32.931277,true,Dallas,SJCDCSV012ERP01,,false,should_update,-96.818167,trust,critical,SJCDCSV012ERP01,10.12.34.56,true
,,OracleDB,,,,,,,,,,,pci,,,,SJCDCSV012ERP01,,
,,,,,,,,,,,,,should_timesync,,,,SJCDCSV012ERP01,,
,,,,,,,,,,,,,OracleDB,,,,SJCDCSV012ERP01,,
,,,,,,,,,,,,,americas,,,,SJCDCSV012ERP01,,
,,,,,,,,,,,,,expected,,,,SJCDCSV012ERP01,,
,emea,pci,true,e911eb1806726fe0105ba87a4791070b85d2c984,,UK,50.84436,true,Havant,ACME-001,lurker,false,pci,-0.98451,trust,high,ACME-001,,false
,,,,,,,,,,,,,should_timesync,,wireless,,ACME-001,,
,,,,,,,,,,,,,should_update,,,,ACME-001,,
,,,,,,,,,,,,,emea,,,,ACME-001,,
,emea,pci,true,b8b6a9f51837d4aa19d169b463c6d33c00c6beef,,UK,50.84436,true,Havant,ACME-002,goose,false,pci,-0.98451,trust,high,ACME-002,,false
,,,,,,,,,,,,,should_timesync,,wireless,,ACME-002,,
,,,,,,,,,,,,,should_update,,,,ACME-002,,
,,,,,,,,,,,,,emea,,,,ACME-002,,
,emea,pci,true,9fe9bb492c5e58e86d4d4f2e818675d26a98109c,,UK,50.84436,true,Havant,ACME-003,dude,true,pci,-0.98451,trust,high,ACME-003,,false
,,,,,,,,,,,,,should_timesync,,wireless,,ACME-003,,
,,,,,,,,,,,,,emea,,,,ACME-003,,
,,,,,,,,,,,,,should_update,,,,ACME-003,,
,,,,,,,,,,,,,requires_av,,,,ACME-003,,
,emea,pci,true,dcd3a8a55b9a268d5315813229206af16815b4eb,,UK,50.84436,true,Havant,ACME-004,taters,true,pci,-0.98451,trust,high,ACME-004,,false
,,,,,,,,,,,,,should_timesync,,wireless,,ACME-004,,
,,,,,,,,,,,,,emea,,,,ACME-004,,
,,,,,,,,,,,,,should_update,,,,ACME-004,,
,,,,,,,,,,,,,requires_av,,,,ACME-004,,
,emea,pci,true,a930b2d8f41793e535ee5337132f2c1daf40f7f0,,UK,50.84436,true,Havant,ACME-005,pineapple,true,pci,-0.98451,trust,high,ACME-005,,false
,,,,,,,,,,,,,should_timesync,,wireless,,ACME-005,,
,,,,,,,,,,,,,emea,,,,ACME-005,,
,,,,,,,,,,,,,should_update,,,,ACME-005,,
,,,,,,,,,,,,,requires_av,,,,ACME-005,,
,emea,pci,true,00cd0e3ae67acabb7e3d429a06786e9e884d0f00,,UK,50.84436,true,Havant,ACME-006,,true,pci,-0.98451,trust,high,ACME-006,,false
,,,,,,,,,,,,,should_timesync,,wireless,,ACME-006,,
,,,,,,,,,,,,,emea,,,,ACME-006,,
,,,,,,,,,,,,,should_update,,,,ACME-006,,
,,,,,,,,,,,,,requires_av,,,,ACME-006,,
,emea,pci,true,f369e599a34ecb4a9694b20160bcf59af4da05aa,,UK,50.84436,true,Havant,HOST-002,,true,pci,-0.98451,trust,high,HOST-002,,false
,,,,,,,,,,,,,should_timesync,,wireless,,HOST-002,,
,,,,,,,,,,,,,emea,,,,HOST-002,,
,,,,,,,,,,,,,should_update,,,,HOST-002,,
,,,,,,,,,,,,,requires_av,,,,HOST-002,,
,emea,pci,true,493848bd5a1656d3fd1da20785ca33b58b152f5b,,UK,50.84436,true,Havant,HOST-003,,true,pci,-0.98451,trust,high,HOST-003,,false
,,,,,,,,,,,,,should_timesync,,wireless,,HOST-003,,
,,,,,,,,,,,,,emea,,,,HOST-003,,
,,,,,,,,,,,,,should_update,,,,HOST-003,,
,,,,,,,,,,,,,requires_av,,,,HOST-003,,
,emea,pci,true,5928dcb6c144a9c5f2e8647a70e2e533536009f3,,UK,50.84436,true,Havant,HOST-004,,true,pci,-0.98451,trust,high,HOST-004,,false
,,,,,,,,,,,,,should_timesync,,wireless,,HOST-004,,
,,,,,,,,,,,,,emea,,,,HOST-004,,
,,,,,,,,,,,,,should_update,,,,HOST-004,,
,,,,,,,,,,,,,requires_av,,,,HOST-004,,
,emea,pci,true,e5e22fe05ff55b8f8a2d0752f2bb3e20228077fe,,UK,50.84436,true,Havant,HOST-005,,false,pci,-0.98451,trust,high,HOST-005,,false
,,,,,,,,,,,,,should_timesync,,wireless,,HOST-005,,
,,,,,,,,,,,,,should_update,,,,HOST-005,,
,,,,,,,,,,,,,emea,,,,HOST-005,,
,emea,pci,true,10a1c04842c00180810e0c27affa0b0b1a80c576,,UK,50.84436,true,Havant,HOST-006,,false,pci,-0.98451,trust,high,HOST-006,,false
,,,,,,,,,,,,,should_timesync,,wireless,,HOST-006,,
,,,,,,,,,,,,,should_update,,,,HOST-006,,
,,,,,,,,,,,,,emea,,,,HOST-006,,
,americas,pci,true,798c5347f3ab753c4b729ac1708b3d5f734f9fc3,,USA,32.931277,true,Dallas,ops-sys-001,,false,pci,-96.818167,trust,medium,ops-sys-001,,true
,,,,,,,,,,,,,should_timesync,,,,ops-sys-001,,
,,,,,,,,,,,,,americas,,,,ops-sys-001,,
,,,,,,,,,,,,,should_update,,,,ops-sys-001,,
,,,,,,,,,,,,,expected,,,,ops-sys-001,,
,americas,pci,true,a734640e2859993b1e266074b817c334e7313de0,,USA,32.931277,true,Dallas,ops-sys-002,,true,should_update,-96.818167,trust,medium,ops-sys-002,,true
,,,,,,,,,,,,,pci,,,,ops-sys-002,,
,,,,,,,,,,,,,requires_av,,,,ops-sys-002,,
,,,,,,,,,,,,,should_timesync,,,,ops-sys-002,,
,,,,,,,,,,,,,americas,,,,ops-sys-002,,
,,,,,,,,,,,,,expected,,,,ops-sys-002,,
,americas,pci,true,418bc0e2bebbc7cc04fd67f6488c94bc4c695c2b,,USA,32.931277,true,Dallas,ops-sys-003,,true,should_update,-96.818167,trust,medium,ops-sys-003,,true
,,,,,,,,,,,,,pci,,,,ops-sys-003,,
,,,,,,,,,,,,,requires_av,,,,ops-sys-003,,
,,,,,,,,,,,,,should_timesync,,,,ops-sys-003,,
,,,,,,,,,,,,,americas,,,,ops-sys-003,,
,,,,,,,,,,,,,expected,,,,ops-sys-003,,
,americas,pci,true,c5d2aa5e98e318a039b4014a8fe4e7166d3871ca,,USA,32.931277,true,Dallas,ops-sys-004,,true,should_update,-96.818167,trust,medium,ops-sys-004,,true
,,,,,,,,,,,,,pci,,,,ops-sys-004,,
,,,,,,,,,,,,,requires_av,,,,ops-sys-004,,
,,,,,,,,,,,,,should_timesync,,,,ops-sys-004,,
,,,,,,,,,,,,,americas,,,,ops-sys-004,,
,,,,,,,,,,,,,expected,,,,ops-sys-004,,
,americas,pci,true,04a914c4ee60878ca3c3e795affaaef8e0454110,,USA,32.931277,true,Dallas,ops-sys-005,,true,should_update,-96.818167,trust,medium,ops-sys-005,,true
,,,,,,,,,,,,,pci,,,,ops-sys-005,,
,,,,,,,,,,,,,requires_av,,,,ops-sys-005,,
,,,,,,,,,,,,,should_timesync,,,,ops-sys-005,,
,,,,,,,,,,,,,americas,,,,ops-sys-005,,
,,,,,,,,,,,,,expected,,,,ops-sys-005,,
,americas,pci,true,e0bc9c6c69f1a37185234e05b9b06e5a36c0e48f,,USA,32.931277,true,Dallas,ops-sys-006,,true,should_update,-96.818167,trust,medium,ops-sys-006,,true
,,,,,,,,,,,,,pci,,,,ops-sys-006,,
,,,,,,,,,,,,,requires_av,,,,ops-sys-006,,
,,,,,,,,,,,,,should_timesync,,,,ops-sys-006,,
