savedsearch,security_domain,severity,rule_name,description,rule_title,rule_description,drilldown_name,drilldown_search,default_status,default_owner
Access - Brute Force Access Behavior Detected - Rule,access,high,Brute Force Access Behavior Detected,Detects excessive number of failed login attempts along with a successful attempt (this could indicate a successful brute force attack),Brute Force Access Behavior Detected From $src$,The system $src$ has failed authentication $failure$ times and successfully authenticated $success$ times in the last hour,View all login attempts by system $src$,"| datamodel Authentication Authentication search | search Authentication.src=""$src$""",1,
Network - Vulnerability Scanner Detection (by event) - Rule,network,high,Vulnerability Scanner Detected (by events),Detects a potential vulnerability scanner by detecting devices that have triggered a large number of unique events. Vulnerability scanners generally trigger a high number unique events when scanning a host since each vulnerability check tends to trigger a unique event.,Vulnerability Scanner Detected ($src$),A potential vulnerability scanner was detected. $src$ has generated $count$ events in the last hour. This may be indicative of a vulnerability scanner since vulnerability scanners generally trigger a large volume of unique events.,View all attack events from device $src$,"| datamodel ""Intrusion_Detection"" ""IDS_Attacks"" search | search IDS_Attacks.src=""$src$""",1,
Endpoint - Prohibited Service Detection - Rule,endpoint,medium,Prohibited Service Detected,Alerts when a service in the prohibited service list is detected.,Prohibited Service Detected ($service$),A prohibited service ($service$) was detected.,View instances of service $service$,"| `datamodel(""Application_State"",""Services"")` | search All_Application_State.service=""$service$""",1,
Network - Unroutable Host Activity - Rule,network,high,Unroutable Activity Detected,Alerts when activity to or from a host that is unroutable is detected.,Unroutable Activity Detected ($bogon_ip$),$orig_sourcetype$ network communication was discovered to a host that is unroutable ($bogon_ip$). This activity may be indicative of malicious activity (such as IP spoofing) since address ($bogon_ip$) should not be used for legitimate network traffic.,View all $orig_sourcetype$ activity involving $src$ to $dest$,"sourcetype=""$orig_sourcetype$"" ""$src$"" ""$dest$""",1,
Threat - Threat List Activity - Rule,threat,low,Threat List Activity Detected,Alerts when activity to or from a host listed on one or more threat lists is detected.,Threat List Activity Detected ($threat$),$orig_sourcetype$ network communication was discovered involving a server listed on one or more threat lists ($threat$).,"View all $orig_sourcetype$ activity involving src: $src$, dest: $dest$, or url: $url$","sourcetype=""$orig_sourcetype$"" [| stats count | eval src=if(""$src$""==""unknown"",null,""$src$"") | eval dest=if(""$dest$""==""unknown"",null,""$dest$"") | eval url=if(""$url$""==""unknown"",null,""$url$"") | return $src $dest $url]",1,
Network - Unusual Volume of Network Activity - Rule,network,high,Unusual Volume of Network Activity,Detects unusual network traffic that may be indicative of a DoS attack as indicated by a high number of unique sources or a high volume of firewall packets,Unusual Volume of Network Activity,An unusual volume of network activity was detected. $src_count$ unique sources have generated network traffic in the past 15 minutes (the average is $src_count_avg$) and $count$ network events have been observed in the same time period ($count_avg$ is the average).,,,1,
Endpoint - Anomalous User Account Creation - Rule,endpoint,medium,New User Account Created On Multiple Hosts,Alerts when numerous new accounts are created for a username accounts multiple hosts.,User Account ($user$) Created On $dest_count$ Hosts,A user account ($user$) was created on several $dest_count$ hosts in the last 24 hours.,View activity for account $user$,"| datamodel Compute_Inventory User search | search All_Inventory.User.user=""$user$""",1,
Audit - Expected Host Not Reporting - Rule,audit,medium,Expected Host Not Reporting,Discovers hosts that are longer reporting events but should be submitting log events. This rule is used to monitor hosts that you know should be providing a constant stream of logs in order to determine why the host has failed to provide log data.,Expected Host Not Reporting ($orig_host$),The Splunk device $orig_host$ is expected to be forwarding data to Splunk and has not in the last $dayDiff$ days.,View events from $orig_host$,"host=""$orig_host$""",1,
Endpoint - Host With Multiple Infections - Rule,endpoint,high,Host With Multiple Infections,Alerts when a host with multiple infections is discovered.,Host With Multiple Infections ($dest$),The device $dest$ was detected with multiple ($infection_count$) infections.,View all infection events associated with device $dest$,"| datamodel Malware Malware_Attacks search | search Malware_Attacks.dest=""$dest$""",1,
Endpoint - Multiple Primary Functions Detected - Rule,endpoint,medium,Multiple Primary Functions Detected,Multiple Primary Functions Detected,Multiple Primary Functions Detected,System $dest$ has multiple ($function_count$) primary functions ($function$) enabled,View primary functions on $dest$,"| `primary_functions_tracker`| search dest=$dest$ | table dest, dest_port, transport, function",1,
