length,domain,segments
2,ac,1
3,com.ac,2
3,edu.ac,2
3,gov.ac,2
3,net.ac,2
3,mil.ac,2
3,org.ac,2
2,ad,1
3,nom.ad,2
2,ae,1
3,co.ae,2
3,net.ae,2
3,org.ae,2
3,sch.ae,2
3,ac.ae,2
3,gov.ae,2
3,mil.ae,2
2,aero,1
3,accident-investigation.aero,2
3,accident-prevention.aero,2
3,aerobatic.aero,2
3,aeroclub.aero,2
3,aerodrome.aero,2
3,agents.aero,2
3,aircraft.aero,2
3,airline.aero,2
3,airport.aero,2
3,air-surveillance.aero,2
3,airtraffic.aero,2
3,air-traffic-control.aero,2
3,ambulance.aero,2
3,amusement.aero,2
3,association.aero,2
3,author.aero,2
3,ballooning.aero,2
3,broker.aero,2
3,caa.aero,2
3,cargo.aero,2
3,catering.aero,2
3,certification.aero,2
3,championship.aero,2
3,charter.aero,2
3,civilaviation.aero,2
3,club.aero,2
3,conference.aero,2
3,consultant.aero,2
3,consulting.aero,2
3,control.aero,2
3,council.aero,2
3,crew.aero,2
3,design.aero,2
3,dgca.aero,2
3,educator.aero,2
3,emergency.aero,2
3,engine.aero,2
3,engineer.aero,2
3,entertainment.aero,2
3,equipment.aero,2
3,exchange.aero,2
3,express.aero,2
3,federation.aero,2
3,flight.aero,2
3,freight.aero,2
3,fuel.aero,2
3,gliding.aero,2
3,government.aero,2
3,groundhandling.aero,2
3,group.aero,2
3,hanggliding.aero,2
3,homebuilt.aero,2
3,insurance.aero,2
3,journal.aero,2
3,journalist.aero,2
3,leasing.aero,2
3,logistics.aero,2
3,magazine.aero,2
3,maintenance.aero,2
3,marketplace.aero,2
3,media.aero,2
3,microlight.aero,2
3,modelling.aero,2
3,navigation.aero,2
3,parachuting.aero,2
3,paragliding.aero,2
3,passenger-association.aero,2
3,pilot.aero,2
3,press.aero,2
3,production.aero,2
3,recreation.aero,2
3,repbody.aero,2
3,res.aero,2
3,research.aero,2
3,rotorcraft.aero,2
3,safety.aero,2
3,scientist.aero,2
3,services.aero,2
3,show.aero,2
3,skydiving.aero,2
3,software.aero,2
3,student.aero,2
3,taxi.aero,2
3,trader.aero,2
3,trading.aero,2
3,trainer.aero,2
3,union.aero,2
3,workinggroup.aero,2
3,works.aero,2
2,af,1
3,gov.af,2
3,com.af,2
3,org.af,2
3,net.af,2
3,edu.af,2
2,ag,1
3,com.ag,2
3,org.ag,2
3,net.ag,2
3,co.ag,2
3,nom.ag,2
2,ai,1
3,off.ai,2
3,com.ai,2
3,net.ai,2
3,org.ai,2
2,al,1
3,com.al,2
3,edu.al,2
3,gov.al,2
3,mil.al,2
3,net.al,2
3,org.al,2
2,am,1
2,an,1
3,com.an,2
3,net.an,2
3,org.an,2
3,edu.an,2
2,ao,1
3,ed.ao,2
3,gv.ao,2
3,og.ao,2
3,co.ao,2
3,pb.ao,2
3,it.ao,2
2,aq,1
2,ar,1
3,com.ar,2
3,edu.ar,2
3,gob.ar,2
3,gov.ar,2
3,int.ar,2
3,mil.ar,2
3,net.ar,2
3,org.ar,2
3,tur.ar,2
2,arpa,1
3,e164.arpa,2
3,in-addr.arpa,2
3,ip6.arpa,2
3,iris.arpa,2
3,uri.arpa,2
3,urn.arpa,2
2,as,1
3,gov.as,2
2,asia,1
2,at,1
3,ac.at,2
3,co.at,2
3,gv.at,2
3,or.at,2
2,au,1
3,com.au,2
3,net.au,2
3,org.au,2
3,edu.au,2
3,gov.au,2
3,asn.au,2
3,id.au,2
3,info.au,2
3,conf.au,2
3,oz.au,2
3,act.au,2
3,nsw.au,2
3,nt.au,2
3,qld.au,2
3,sa.au,2
3,tas.au,2
3,vic.au,2
3,wa.au,2
4,act.edu.au,3
4,nsw.edu.au,3
4,nt.edu.au,3
4,qld.edu.au,3
4,sa.edu.au,3
4,tas.edu.au,3
4,vic.edu.au,3
4,wa.edu.au,3
4,qld.gov.au,3
4,sa.gov.au,3
4,tas.gov.au,3
4,vic.gov.au,3
4,wa.gov.au,3
2,aw,1
3,com.aw,2
2,ax,1
2,az,1
3,com.az,2
3,net.az,2
3,int.az,2
3,gov.az,2
3,org.az,2
3,edu.az,2
3,info.az,2
3,pp.az,2
3,mil.az,2
3,name.az,2
3,pro.az,2
3,biz.az,2
2,ba,1
3,org.ba,2
3,net.ba,2
3,edu.ba,2
3,gov.ba,2
3,mil.ba,2
3,unsa.ba,2
3,unbi.ba,2
3,co.ba,2
3,com.ba,2
3,rs.ba,2
2,bb,1
3,biz.bb,2
3,co.bb,2
3,com.bb,2
3,edu.bb,2
3,gov.bb,2
3,info.bb,2
3,net.bb,2
3,org.bb,2
3,store.bb,2
3,tv.bb,2
3,bd,1
2,be,1
3,ac.be,2
2,bf,1
3,gov.bf,2
2,bg,1
3,a.bg,2
3,b.bg,2
3,c.bg,2
3,d.bg,2
3,e.bg,2
3,f.bg,2
3,g.bg,2
3,h.bg,2
3,i.bg,2
3,j.bg,2
3,k.bg,2
3,l.bg,2
3,m.bg,2
3,n.bg,2
3,o.bg,2
3,p.bg,2
3,q.bg,2
3,r.bg,2
3,s.bg,2
3,t.bg,2
3,u.bg,2
3,v.bg,2
3,w.bg,2
3,x.bg,2
3,y.bg,2
3,z.bg,2
3,0.bg,2
3,1.bg,2
3,2.bg,2
3,3.bg,2
3,4.bg,2
3,5.bg,2
3,6.bg,2
3,7.bg,2
3,8.bg,2
3,9.bg,2
2,bh,1
3,com.bh,2
3,edu.bh,2
3,net.bh,2
3,org.bh,2
3,gov.bh,2
2,bi,1
3,co.bi,2
3,com.bi,2
3,edu.bi,2
3,or.bi,2
3,org.bi,2
2,biz,1
2,bj,1
3,asso.bj,2
3,barreau.bj,2
3,gouv.bj,2
2,bm,1
3,com.bm,2
3,edu.bm,2
3,gov.bm,2
