type,risk,url,name,description,domain,category,key,ip
threatlist,,,iblocklist_logmein,LogMeIn,,,69.25.20.0/23,69.25.20.0/23
threatlist,,,iblocklist_logmein,LogMeIn,,,74.201.74.0/23,74.201.74.0/23
threatlist,,,iblocklist_logmein,LogMeIn,,,64.94.46.0/23,64.94.46.0/23
threatlist,,,iblocklist_logmein,LogMeIn,,,77.242.192.0/23,77.242.192.0/23
threatlist,,,iblocklist_logmein,LogMeIn,,,63.251.46.0/23,63.251.46.0/23
threatlist,,,iblocklist_logmein,LogMeIn,,,25.0.0.0/8,25.0.0.0/8
threatlist,,,iblocklist_web_attacker,Massive spammers - ubiquity.io,,,23.19.208.0/22,23.19.208.0/22
threatlist,,,iblocklist_web_attacker,SkipLink,,,66.55.64.0/20,66.55.64.0/20
threatlist,,,iblocklist_web_attacker,Turk Telekom - Hacker activity 78.174.169.71,,,78.174.168.0/23,78.174.168.0/23
threatlist,,,iblocklist_web_attacker,Skytiz Network,,,87.245.192.0/21,87.245.192.0/21
threatlist,,,iblocklist_web_attacker,"(Mass injection attack) Novikov, Aleksandr Leonidovich",,,91.207.60.0/23,91.207.60.0/23
threatlist,,,iblocklist_web_attacker,SOREX MEDIA S.R.L,,,94.48.186.0/23,94.48.186.0/23
threatlist,,,iblocklist_web_attacker,SOREX MEDIA S.R.L,,,94.48.188.0/22,94.48.188.0/22
threatlist,,,iblocklist_web_attacker,Southeastweb.com|SkipLink,,,207.126.160.0/21,207.126.160.0/21
threatlist,,,iblocklist_spyware,Webair Internet Development Inc,,,38.96.128.0/23,38.96.128.0/23
threatlist,,,iblocklist_spyware,Cydoor Technologies,,,38.117.174.0/23,38.117.174.0/23
threatlist,,,iblocklist_spyware,malware host - Dragan  S.R.L on Ecatel Network,,,46.161.10.0/23,46.161.10.0/23
threatlist,,,iblocklist_spyware,RELIKTBVK | BlackEnergy Botnet,,,46.252.128.0/23,46.252.128.0/23
threatlist,,,iblocklist_spyware,HostFresh,,,58.65.232.0/21,58.65.232.0/21
threatlist,,,iblocklist_spyware,Bonzi Software,,,63.68.54.0/23,63.68.54.0/23
threatlist,,,iblocklist_spyware,"I-Deal Direct Interactive, Inc",,,64.8.52.0/23,64.8.52.0/23
threatlist,,,iblocklist_spyware,"Cernel, Inc",,,64.28.176.0/20,64.28.176.0/20
threatlist,,,iblocklist_spyware,NetNation Communications Inc,,,64.40.96.0/21,64.40.96.0/21
threatlist,,,iblocklist_spyware,NetNation Communications Inc,,,64.40.104.0/22,64.40.104.0/22
threatlist,,,iblocklist_spyware,NetNation Communications Inc,,,64.40.108.0/23,64.40.108.0/23
threatlist,,,iblocklist_spyware,Cybersurf Corp,,,64.42.236.0/23,64.42.236.0/23
threatlist,,,iblocklist_spyware,Gator Business Solutions Inc,,,64.69.16.0/20,64.69.16.0/20
