eventid,description,description_long
1000,NetShield service started successfully.,The NetShield service started successfully
1001,NetShield service ended successfully.,The NetShield service ended successfully
1002,Task started successfully.,Task %TASKNAME% was successfully started
1003,Error starting Task.,Task %TASKNAME% encountered an error while attempting to start
1004,Task has completed successfully.,Task %TASKNAME% has completed successfully
1005,Error while stopping task.,Error stopping task %TASKNAME%
1024,Infected file found.,The file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%. Detected with Scan Engine %ENGINEVERSION% DAT version %DATVERSION%
1025,Infected file successfully Cleaned.,The file %FILENAME% was infected with %VIRUSNAME% %VIRUSTYPE%. The file was successfully cleaned with Scan engine version %ENGINEVERSION% DAT version %DATVERSION%.
1026,Unable to clean infected file.,The file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%.  Unable to clean the file using the current Scan engine version %ENGINEVERSION% DAT version %DATVERSION%.
1027,Infected file deleted.,The file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%.  The file was successfully deleted.
1028,Unable to delete infected file.,The file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%.  Unable to delete the infected file.
1029,File to be excluded from scans.,The file %FILENAME% will be excluded from further scans.
1030,Unable to exclude item from scans.,Unable to exclude %FILENAME% from further scans.
1031,Infected file access denied.,The file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%. Access to the file was denied. Detected using Scan engine version %ENGINEVERSION% DAT version %DATVERSION%
1032,Infected file was moved to quarantine area.,The file %FILENAME% is infected with the %VIRUSNAME% %VIRUSTYPE%. The infected file was moved to quarantine area. Detected using Scan engine version %SCANENGINE% DAT version %DATVERSION%
1033,Unable to move infected file to quarantine.,The file %FILENAME% is infected with the %VIRUSNAME% %VIRUSTYPE%.  Unable to move the file to the quarantine area. Detected using Scan engine version %ENGINEVERSION% DAT version %DATVERSION%
1034,Scan completed. No viruses found.,The scan completed.  No infected files were found. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1035,Scan was cancelled.,The scan was cancelled at time %GMTTIME%.
1036,Memory infected.,System memory is infected with the %VIRUSNAME% %VIRUSTYPE%. Detected using Scan engine version %ENGINEVERSION% DAT version %DATVERSION%.
1037,Infected boot record found.,The scan found a boot record infected with %VIRUSNAME% %VIRUSTYPE%. Detected using Scan Engine version %ENGINEVERSION% DAT version %DATVERSION%.
1038,Scan found infected files.,The scan found infected files. Scan engine version %ENGINEVERSION% DAT version %DATVERSION%
1039,Scan found and cleaned infected files.,The scan found and cleaned infected files using Scan engine version %ENGINEVERSION% DAT version %DATVERSION%.
1040,Activity Log error.,The scan reported an error accessing the activity log file while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1293,"file infected.  Quarantine failed, deleted successfully","file infected.  Quarantine failed, deleted successfully"
1294,"file infected.  Quarantine failed, delete failed","file infected.  Quarantine failed, delete failed"
1295,"file infected.  Move failed, continued scanning (ODS)","file infected.  Move failed, continued scanning (ODS)"
1041,Scan reports memory allocation error.,The scan reported a memory allocation error while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1042,Path too long.,The directory path name is too long.  The scan could not scan some items in the specified location.  Error occurred while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1043,Media is write protected.,The scan could not access the media due to write protection while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1044,Specified media not found.,The scan could not find the specified media while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1045,Specified scan item is invalid.,The scan found an invalid scan item while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1046,File I/O errors.,The scan reported a file I/O error while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1047,Disk I/O errors.,The scan reported a disk I/O error while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1048,Scan reports general system error.,The scan reported a general system error while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1049,Scan reported an internal application error.,The scan reported an internal application error while scanning file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1050,Unable to repair password protected,The Scan encountered an error while processing password protected file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1051,Unable to scan password protected,The Scan was unable to scan password protected file %FILENAME%. Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1052,Infected Binder Object,Infected Binder Object
1053,Infected file found.,"The file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%. Detected with Heuristics, Scan Engine %ENGINEVERSION% DAT version %DATVERSION%"
1054,Infected file deleted.,Heuristics has detected that file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%.  The file was successfully deleted.
1055,Unable to delete infected file.,Heuristics has detected that file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%.  Unable to delete the infected file.
1056,File moved to quarantine.,Heuristics has detected that file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE% and has moved the file to the quarantine area. Detected using Scan engine version %ENGINEVERSION% DAT version %DATVERSION%
1057,Unable to move infected file to quarantine.,Heuristics has detected that file %FILENAME% is infected with %VIRUSNAME% %VIRUSTYPE%.  Unable to move the file to the quarantine area. Detected using Scan engine version %ENGINEVERSION% DAT version %DATVERSION%
1059,Scan Timed Out,The scan of %FILENAME% has taken too long to complete and is being canceled.  Scan engine version used is %ENGINEVERSION% DAT version %DATVERSION%.
1060,Boot sector virus was cleaned,The scan cleaned a boot record infected with the %VIRUSNAME% %VIRUSTYPE%. Detected using Scan Engine version %ENGINEVERSION% DAT version %DATVERSION%.
1296,"file infected.  Move failed, denied access and continued (OAS)","file infected.  Move failed, denied access and continued (OAS)"
1061,Error while cleaning boot sector virus,The scan encountered an error attempting to clean a boot record infected with %VIRUSNAME% %VIRUSTYPE%. Detected using Scan Engine version %ENGINEVERSION% DAT version %DATVERSION%.
1062,Error sending alert,An error occurred while sending an alert.
1063,Invalid options specified,Invalid Options were Specified.
1064,Service was started.,Service was started.
1065,Service ended.,Service ended.
1066,Task started ok,Task was started successfully.
1067,Unable to start scheduled task.,Unable to start scheduled task.
1068,Scheduled task was stopped.,Scheduled task was stopped.
1069,Error stopping scheduled task.,Error stopping scheduled task.
1070,Task was successful.,Task was successful.
1071,Task was canceled.,Task was canceled.
1076,Error logging information.,An error occurred writing to the log file %FILENAME%.
1077,Memory allocation error.,A memory allocation error occurred.
1086,Scan Process Error,Scan Process Error
1087,On-access Scan started,On-access Scan started at %GMTTIME%. Scan version %ENGINEVERSION% DAT version %DATVERSION%.
1088,On-access scan stopped.,On-access scan stopped. Scan version %ENGINEVERSION% DAT version %DATVERSION%.
1089,Scan Settings.,Scan Settings were %INFO%. Scan version %ENGINEVERSION% DAT version %DATVERSION%.
1090,OAS stopped,OAS stopped
1091,JavaScript security violation detected and blocked,JavaScript security violation detected and blocked
1092,Access Protection rule violation detected and blocked,Access Protection rule violation detected and blocked
1093,Buffer Overflow detected and blocked,Buffer Overflow detected and blocked
1094,Port blocking rule violation detected,Port blocking rule violation detected
1095,Access Protection rule violation detected and NOT blocked,Access Protection rule violation detected and NOT blocked
