protocol,description,overall_description
0,,
7,eDonkey User,eDonkey
17,Ares User,Ares
19,Gnutella User,Gnutella
30,IP unassigned,Unassigned IP
31,IP unadvertised,Unadvertised IP
32,Tor Exit,Socket Proxy
33,IP based proxy,IP Proxy
34,Web Proxy,Web Proxy
40,Botnet CC,Botnet
41,Bot,Botnet
50,Carding user,Carding
51,Carding Generator,Carding download
52,Financial Fraudster,Fraud
53,Financial publishing user,financial piracy
54,Insider Information Leak,Financial Insider
55,Merchant Submitted fraud,Merchants API
60,Intelligence collector,Intelligence
70,Identity Phishing,Identify Theft
80,Brute Force attacker,Cracking
90,Cyber Stalker,Cyber Stalking
100,Arms dealer site,Arms Dealer
110,Mule recruitment,Narcotics
111,Narcotics Soliciting,Narcotics
112,Pharmaceutical soliciting,Pharmaceutical
120,Industrial Espionage Server,Industrial Espionage
130,Hacked Computer,Hacked
140,Pump and dump user,Stock Scams
141,Short Scalping Computer,Stock Scams
150,High risk user TMI,High risk user
151,High risk Network,High risk Network
152,High risk site,High risk Site
153,Porn Content,porn
156,Gambling,gamble
157,Chat,chat
158,Web,Radio,webradio
159,Webmail,webmail
160,Warez,warez
161,Shopping,shopping
162,Advertisement,adv
163,Movies,movies
164,Violence,violence
165,Music,music
166,Hacking,hacking
167,ISP,isp
168,Drugs,drugs
169,Agressive,aggressive
170,News,news
171,Redirector,redirector
172,Spyware,spyware
173,Dating,dating
174,Dynamic,dynamic
175,Job,Search,jobsearch
176,Tracker,tracker
177,Models,models
178,Forum,forum
179,Web,TV,webtv
180,Downloads,downloads
181,Ring Tones,ringtones
182,Search Engine,searchengines
183,Social Net,socialnet
184,Update Sites,updatesites
185,Weapons,weapons
186,Web Phone,webphone
187,Religion,religion
188,Image Hosting,imagehosting
189,Podcast,podcasts
190,Hospitals,hospitals
191,Military,military
192,Politics,politics
193,Remote control,remotecontrol
194,Fortune Telling,fortunetelling
195,Library,library
196,Cost Traps,costtraps
197,Homestyle,homestyle
198,Government,government
199,Alcohol,alcohol
200,Radio TV,radiotv
201,Zeus Bot,Zeus
211,Butterflies Bot,Butterfly
221,Keylogger Bot,Keyloggers
231,Zeroaccess Bot,ZeroAccess
241,Palevo Bot,Palevo
251,ICE XX Bot,ICE
261,SpyEye Bot,Spyeye
271,DriveByMalware,Drive By Malware
281,Binary Site,Binaries
291,DDOS scatter,DDOS
301,Port Scan Scatter,Port Scan
311,SPAM Scatter,SPAM
321,Iframe Hidden,Iframes
331,Iframe Injected,Iframes
341,.htaccess redirect,.htaccess
351,Bad Javascript,Javascript
361,Phising Site,Phising
371,Friendly Port scan,Edu scanner
381,Manual WL entry,whitelist
391,VPN AnchorFree.com,VPN
392,Malware URL,Malware Host
393,Malware domain,DNS
