NTSyslogID,EventCode,action
S0,0,success
F0,0,failure
S1,1,success
F1,1,failure
S2,2,success
F2,2,failure
S3,3,success
F3,3,failure
S4,4,success
F4,4,failure
S5,5,success
F5,5,failure
S6,6,success
F6,6,failure
S7,7,success
F7,7,failure
S8,8,success
F8,8,failure
S9,9,success
F9,9,failure
S10,10,success
F10,10,failure
S11,11,success
F11,11,failure
S12,12,success
F12,12,failure
S13,13,success
F13,13,failure
S14,14,success
F14,14,failure
S15,15,success
F15,15,failure
S16,16,success
F16,16,failure
S17,17,success
F17,17,failure
S18,18,success
F18,18,failure
S19,19,success
F19,19,failure
S20,20,success
F20,20,failure
S21,21,success
F21,21,failure
S22,22,success
F22,22,failure
S23,23,success
F23,23,failure
S24,24,success
F24,24,failure
S25,25,success
F25,25,failure
S26,26,success
F26,26,failure
S27,27,success
F27,27,failure
S28,28,success
F28,28,failure
S29,29,success
F29,29,failure
S30,30,success
F30,30,failure
S31,31,success
F31,31,failure
S32,32,success
F32,32,failure
S33,33,success
F33,33,failure
S34,34,success
F34,34,failure
S35,35,success
F35,35,failure
S36,36,success
F36,36,failure
S37,37,success
F37,37,failure
S38,38,success
F38,38,failure
S39,39,success
F39,39,failure
S40,40,success
F40,40,failure
S41,41,success
F41,41,failure
S42,42,success
F42,42,failure
S43,43,success
F43,43,failure
S44,44,success
F44,44,failure
S45,45,success
F45,45,failure
S46,46,success
F46,46,failure
S47,47,success
F47,47,failure
S48,48,success
F48,48,failure
S49,49,success
F49,49,failure
S50,50,success
F50,50,failure
S51,51,success
F51,51,failure
S52,52,success
F52,52,failure
S53,53,success
F53,53,failure
S54,54,success
F54,54,failure
S55,55,success
F55,55,failure
S56,56,success
F56,56,failure
S57,57,success
F57,57,failure
S58,58,success
F58,58,failure
S59,59,success
F59,59,failure
S60,60,success
F60,60,failure
S61,61,success
F61,61,failure
S62,62,success
F62,62,failure
S63,63,success
F63,63,failure
S64,64,success
F64,64,failure
S65,65,success
F65,65,failure
S66,66,success
F66,66,failure
S67,67,success
F67,67,failure
S68,68,success
F68,68,failure
S69,69,success
F69,69,failure
S70,70,success
F70,70,failure
S71,71,success
F71,71,failure
S72,72,success
F72,72,failure
S73,73,success
F73,73,failure
S74,74,success
F74,74,failure
S75,75,success
F75,75,failure
S76,76,success
F76,76,failure
S77,77,success
F77,77,failure
S78,78,success
F78,78,failure
S79,79,success
F79,79,failure
S80,80,success
F80,80,failure
S81,81,success
F81,81,failure
S82,82,success
F82,82,failure
S83,83,success
F83,83,failure
S84,84,success
F84,84,failure
S85,85,success
F85,85,failure
S86,86,success
F86,86,failure
S87,87,success
F87,87,failure
S88,88,success
F88,88,failure
S89,89,success
F89,89,failure
S90,90,success
F90,90,failure
S91,91,success
F91,91,failure
S92,92,success
F92,92,failure
S93,93,success
F93,93,failure
S94,94,success
F94,94,failure
S95,95,success
F95,95,failure
S96,96,success
F96,96,failure
S97,97,success
F97,97,failure
S98,98,success
F98,98,failure
S99,99,success
F99,99,failure
S100,100,success
F100,100,failure
S101,101,success
F101,101,failure
S102,102,success
F102,102,failure
S103,103,success
F103,103,failure
S104,104,success
F104,104,failure
S105,105,success
F105,105,failure
S106,106,success
F106,106,failure
S107,107,success
F107,107,failure
S108,108,success
F108,108,failure
S109,109,success
F109,109,failure
S110,110,success
F110,110,failure
S111,111,success
F111,111,failure
S112,112,success
F112,112,failure
S113,113,success
F113,113,failure
S114,114,success
F114,114,failure
S115,115,success
F115,115,failure
S116,116,success
F116,116,failure
S117,117,success
F117,117,failure
S118,118,success
F118,118,failure
S119,119,success
F119,119,failure
S120,120,success
F120,120,failure
S121,121,success
F121,121,failure
S122,122,success
F122,122,failure
S123,123,success
F123,123,failure
S124,124,success
F124,124,failure
S125,125,success
F125,125,failure
S126,126,success
F126,126,failure
S127,127,success
F127,127,failure
S128,128,success
F128,128,failure
S129,129,success
F129,129,failure
S130,130,success
F130,130,failure
S131,131,success
F131,131,failure
S132,132,success
F132,132,failure
S133,133,success
F133,133,failure
S134,134,success
F134,134,failure
S135,135,success
F135,135,failure
S136,136,success
F136,136,failure
S137,137,success
F137,137,failure
S138,138,success
F138,138,failure
S139,139,success
F139,139,failure
S140,140,success
F140,140,failure
S141,141,success
F141,141,failure
S142,142,success
F142,142,failure
S143,143,success
F143,143,failure
S144,144,success
F144,144,failure
S145,145,success
F145,145,failure
S146,146,success
F146,146,failure
S147,147,success
F147,147,failure
S148,148,success
F148,148,failure
S149,149,success
F149,149,failure
S150,150,success
F150,150,failure
S151,151,success
F151,151,failure
S152,152,success
F152,152,failure
S153,153,success
F153,153,failure
S154,154,success
F154,154,failure
S155,155,success
F155,155,failure
S156,156,success
F156,156,failure
S157,157,success
