transport_id,transport
0,hopopt
1,icmp
2,igmp
3,ggp
4,ip
5,st
6,tcp
7,cbt
8,egp
9,igp
10,"bbn-rcc-mon,bbn rcc monitoring"
11,nvp-ii
12,pup
13,argus
14,emcon
15,xnet
16,chaos
17,udp
18,mux
19,dcn-meas
20,hmp
21,prm
22,xns-idp
23,trunk-1
24,trunk-2
25,leaf-1
26,leaf-2
27,rdp
28,irtp
29,iso-tp4
30,netblt
31,mfe-nsp
32,merit-inp
33,dccp
34,3pc
35,idpr
36,xtp
37,ddp
38,idpr-cmtp
39,tp++
40,il,
41,ipv6
42,sdrp
43,ipv6-route
44,ipv6-frag
45,idrp
46,rsvp
47,gre
48,dsr
49,bna
50,esp
51,ah
52,i-nlsp
53,swipe
54,narp
55,mobile
56,tlsp
57,skip
58,ipv6-icmp
59,ipv6-nonxt
60,ipv6-opts
62,cftp
64,sat-expak
65,kryptolan
66,rvd
67,ippc
69,sat-mon
70,visa
71,ipcv
72,cpnx
73,cphb
74,wsn
75,pvp
76,br-sat-mon
77,sun-nd
78,wb-mon
79,wb-expak
80,iso-ip
81,vmtp
82,secure-vmtp
83,vines
84,ttp
85,"nsfnet-igp,nsfnet-igp"
86,dgp
87,tcf
88,eigrp
89,ospfigp
90,sprite-rpc
91,larp
92,mtp
93,ax.25
94,ipip
95,micp
96,scc-sp   
97,etherip
98,encap
100,gmtp
101,ifmp
102,pnni
103,pim
104,aris
105,scps
106,qnx
107,a/n
108,ipcomp
109,snp
110,compaq-peer
111,ipx-in-ip
112,vrrp
113,pgm
115,l2tp
116,ddx
117,iatp
118,stp
119,srp
120,uti
121,smp
122,sm
123,ptp
124,isis over ipv4
125,fire
126,crtp
127,crudp
128,sscopmce
129,iplt
130,sps
131,pipe
132,sctp
133,fc
134,rsvp-e2e-ignore
135,mobility header
136,udplite
137,mpls-in-ip
138,manet
139,hip
140,shim6
141,unassigned
142,unassigned
143,unassigned
144,unassigned
145,unassigned
146,unassigned
147,unassigned
148,unassigned
149,unassigned
150,unassigned
151,unassigned
152,unassigned
153,unassigned
154,unassigned
155,unassigned
156,unassigned
157,unassigned
158,unassigned
159,unassigned
160,unassigned
161,unassigned
162,unassigned
163,unassigned
164,unassigned
165,unassigned
166,unassigned
167,unassigned
168,unassigned
169,unassigned
170,unassigned
171,unassigned
172,unassigned
173,unassigned
174,unassigned
175,unassigned
176,unassigned
177,unassigned
178,unassigned
179,unassigned
180,unassigned
181,unassigned
182,unassigned
183,unassigned
184,unassigned
185,unassigned
186,unassigned
187,unassigned
188,unassigned
189,unassigned
190,unassigned
191,unassigned
192,unassigned
193,unassigned
194,unassigned
195,unassigned
196,unassigned
197,unassigned
198,unassigned
199,unassigned
200,unassigned
201,unassigned
202,unassigned
203,unassigned
204,unassigned
205,unassigned
206,unassigned
207,unassigned
208,unassigned
209,unassigned
210,unassigned
211,unassigned
212,unassigned
213,unassigned
214,unassigned
215,unassigned
216,unassigned
217,unassigned
218,unassigned
219,unassigned
220,unassigned
221,unassigned
222,unassigned
223,unassigned
224,unassigned
225,unassigned
226,unassigned
227,unassigned
228,unassigned
229,unassigned
230,unassigned
231,unassigned
232,unassigned
233,unassigned
234,unassigned
235,unassigned
236,unassigned
237,unassigned
238,unassigned
239,unassigned
240,unassigned
241,unassigned
242,unassigned
243,unassigned
244,unassigned
245,unassigned
246,unassigned
247,unassigned
248,unassigned
249,unassigned
250,unassigned
251,unassigned
252,unassigned
253,experimental
254,experimental
255,reserved
