proto,transport,transport_name
0,HOPOPT,IPv6 Hop-by-Hop Option 
1,ICMP,Internet Control Message Protocol 
2,IGMP,Internet Group Management Protocol 
3,GGP,Gateway-to-Gateway Protocol 
4,IPv4,IPv4 (encapsulation) 
5,ST,Internet Stream Protocol 
6,TCP,Transmission Control Protocol 
7,CBT,Core-based trees 
8,EGP,Exterior Gateway Protocol 
9,IGP,Interior Gateway Protocol (any private interior gateway (used by Cisco for their IGRP)) 
10,BBN-RCC-MON,BBN RCC Monitoring 
11,NVP-II,Network Voice Protocol 
12,PUP,Xerox PUP 
13,ARGUS,ARGUS 
14,EMCON,EMCON 
15,XNET,Cross Net Debugger 
16,CHAOS,Chaos 
17,UDP,User Datagram Protocol 
18,MUX,Multiplexing 
19,DCN-MEAS,DCN Measurement Subsystems 
20,HMP,Host Monitoring Protocol 
21,PRM,Packet Radio Measurement 
22,XNS-IDP,XEROX NS IDP 
23,TRUNK-1,Trunk-1 
24,TRUNK-2,Trunk-2 
25,LEAF-1,Leaf-1 
26,LEAF-2,Leaf-2 
27,RDP,Reliable Datagram Protocol 
28,IRTP,Internet Reliable Transaction Protocol 
29,ISO-TP4,ISO Transport Protocol Class 4 
30,NETBLT,Bulk Data Transfer Protocol 
31,MFE-NSP,MFE Network Services Protocol 
32,MERIT-INP,MERIT Internodal Protocol 
33,DCCP,Datagram Congestion Control Protocol 
34,3PC,Third Party Connect Protocol 
35,IDPR,Inter-Domain Policy Routing Protocol 
36,XTP,Xpress Transport Protocol 
37,DDP,Datagram Delivery Protocol 
38,IDPR-CMTP,IDPR Control Message Transport Protocol 
39,TP++,TP++ Transport Protocol 
40,IL,IL Transport Protocol 
41,IPv6,IPv6 (encapsulation) 
42,SDRP,Source Demand Routing Protocol 
43,IPv6-Route,Routing Header for IPv6 
44,IPv6-Frag,Fragment Header for IPv6 
45,IDRP,Inter-Domain Routing Protocol 
46,RSVP,Resource Reservation Protocol 
47,GRE,Generic Routing Encapsulation 
48,MHRP,Mobile Host Routing Protocol 
49,BNA,BNA 
50,ESP,Encapsulating Security Payload 
