bad_ip,threat_intel_source
61.155.30.0/24,cymru_http
220.165.9.0/24,cymru_http
58.50.169.0/24,cymru_http
119.146.189.0/24,cymru_http
125.110.156.0/24,cymru_http
36.47.37.0/24,cymru_http
222.82.245.0/24,cymru_http
46.30.40.94/32,cymru_http
218.95.217.0/24,cymru_http
117.27.136.0/24,cymru_http
61.191.62.0/24,cymru_http
61.142.254.0/24,cymru_http
183.60.48.0/24,cymru_http
61.132.222.0/24,cymru_http
218.4.59.0/24,cymru_http
123.172.78.0/24,cymru_http
222.243.162.0/24,cymru_http
14.115.53.0/24,cymru_http
220.186.130.0/24,cymru_http
113.247.21.0/24,cymru_http
222.210.23.0/24,cymru_http
58.56.38.0/24,cymru_http
220.180.207.0/24,cymru_http
61.142.114.0/24,cymru_http
222.76.62.0/24,cymru_http
222.178.88.0/24,cymru_http
61.177.184.0/24,cymru_http
124.232.163.0/24,cymru_http
125.77.80.0/24,cymru_http
183.60.243.0/24,cymru_http
115.239.248.0/24,cymru_http
61.132.80.0/24,cymru_http
218.192.171.0/24,cymru_http
202.117.3.0/24,cymru_http
202.201.1.0/24,cymru_http
219.245.92.0/24,cymru_http
59.66.141.0/24,cymru_http
202.206.106.0/24,cymru_http
210.26.57.0/24,cymru_http
211.85.228.0/24,cymru_http
203.151.162.0/24,cymru_http
202.29.107.0/24,cymru_http
61.8.231.0/24,cymru_http
124.6.7.0/24,cymru_http
122.254.9.0/24,cymru_http
210.152.157.0/24,cymru_http
203.146.109.0/24,cymru_http
14.141.43.0/24,cymru_http
219.77.166.0/24,cymru_http
119.237.170.0/24,cymru_http
219.77.242.0/24,cymru_http
219.78.116.0/24,cymru_http
112.120.201.0/24,cymru_http
116.48.83.0/24,cymru_http
218.250.67.0/24,cymru_http
119.236.63.0/24,cymru_http
116.49.210.0/24,cymru_http
119.236.143.0/24,cymru_http
14.63.217.0/24,cymru_http
123.110.109.0/24,cymru_http
123.240.82.0/24,cymru_http
175.182.180.0/24,cymru_http
123.240.234.0/24,cymru_http
61.58.186.0/24,cymru_http
123.110.87.0/24,cymru_http
123.241.35.0/24,cymru_http
123.204.17.0/24,cymru_http
61.57.76.0/24,cymru_http
123.241.97.0/24,cymru_http
175.180.94.0/24,cymru_http
123.240.228.0/24,cymru_http
123.241.4.0/24,cymru_http
61.60.202.0/24,cymru_http
175.180.104.0/24,cymru_http
60.53.124.0/24,cymru_http
60.53.126.0/24,cymru_http
60.53.127.0/24,cymru_http
210.187.78.0/24,cymru_http
123.125.219.0/24,cymru_http
61.135.203.0/24,cymru_http
123.127.36.0/24,cymru_http
61.51.36.0/24,cymru_http
218.106.182.0/24,cymru_http
124.192.229.0/24,cymru_http
202.108.103.0/24,cymru_http
58.117.96.0/24,cymru_http
222.66.141.0/24,cymru_http
116.236.201.0/24,cymru_http
180.168.201.0/24,cymru_http
123.14.90.0/24,cymru_http
218.7.123.0/24,cymru_http
221.204.213.0/24,cymru_http
221.10.11.0/24,cymru_http
60.28.129.0/24,cymru_http
218.60.1.0/24,cymru_http
