Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15281913,0,"Wednesday, February  6, 2013 00:11:58 UTC",33.2985,-116.3707,1.4,9.60,82,"Southern California"
ci,15281897,0,"Tuesday, February  5, 2013 23:50:14 UTC",33.2987,-116.3720,1.5,9.60,70,"Southern California"
nc,71932170,0,"Tuesday, February  5, 2013 23:37:54 UTC",37.5620,-122.4353,1.1,10.30, 9,"San Francisco Bay area, California"
nc,71932160,1,"Tuesday, February  5, 2013 23:24:41 UTC",38.7972,-122.7638,1.6,0.00,28,"Northern California"
uw,60505001,1,"Tuesday, February  5, 2013 22:33:15 UTC",48.0908,-121.9350,1.0,0.00,19,"Washington"
ci,15281833,0,"Tuesday, February  5, 2013 22:20:25 UTC",33.9925,-116.8192,1.5,17.10,76,"Southern California"
ci,15281825,0,"Tuesday, February  5, 2013 22:17:00 UTC",34.3352,-116.8840,1.6,1.10,48,"Southern California"
uw,60504996,1,"Tuesday, February  5, 2013 22:14:01 UTC",49.4322,-120.5107,2.3,0.00,12,"British Columbia, Canada"
ci,15281817,0,"Tuesday, February  5, 2013 22:08:59 UTC",35.5582,-118.5275,1.6,1.40,29,"Central California"
us,2013lgaz,6,"Tuesday, February  5, 2013 22:03:50 UTC",40.4227,-125.3185,3.5,2.50,13,"offshore Northern California"
ci,15281801,0,"Tuesday, February  5, 2013 21:52:42 UTC",36.6005,-117.6587,1.8,8.40,18,"Central California"
uw,60504971,1,"Tuesday, February  5, 2013 21:39:23 UTC",48.8775,-119.4077,2.2,1.40,11,"Washington"
ak,10650906,1,"Tuesday, February  5, 2013 21:29:06 UTC",61.0631,-146.8621,1.5,31.30, 5,"Southern Alaska"
nc,71932080,0,"Tuesday, February  5, 2013 21:09:04 UTC",38.8185,-122.7795,1.2,1.00,19,"Northern California"
ak,10650894,1,"Tuesday, February  5, 2013 21:08:45 UTC",63.4422,-148.8848,1.1,19.90, 5,"Central Alaska"
nc,71932075,0,"Tuesday, February  5, 2013 21:04:03 UTC",38.8245,-122.7607,1.0,2.20,13,"Northern California"
ak,10650884,1,"Tuesday, February  5, 2013 20:58:52 UTC",63.1063,-151.3300,2.0,4.30,18,"Central Alaska"
ak,10650876,1,"Tuesday, February  5, 2013 20:29:44 UTC",61.5854,-149.8053,1.5,35.30, 8,"Southern Alaska"
ci,15281745,0,"Tuesday, February  5, 2013 20:24:51 UTC",33.6357,-116.6985,1.1,15.60,38,"Southern California"
ak,10650871,1,"Tuesday, February  5, 2013 20:23:48 UTC",64.5378,-150.5398,1.4,14.90, 8,"Central Alaska"
us,c000f1kg,9,"Tuesday, February  5, 2013 20:15:10 UTC",-23.6087,-66.7196,4.7,204.90,25,"Jujuy, Argentina"
nc,71932035,2,"Tuesday, February  5, 2013 19:52:30 UTC",36.3077,-120.8535,1.7,7.40,35,"Central California"
ak,10650863,2,"Tuesday, February  5, 2013 19:49:16 UTC",52.2213,-168.2007,2.5,39.10,14,"Fox Islands, Aleutian Islands, Alaska"
ci,15281729,0,"Tuesday, February  5, 2013 19:41:02 UTC",32.6050,-116.9753,1.5,2.50,35,"San Diego County urban area, California"
us,c000f1jz,6,"Tuesday, February  5, 2013 19:39:39 UTC",-10.7531,164.9855,5.1,46.00,145,"Santa Cruz Islands region"
ci,15281721,0,"Tuesday, February  5, 2013 19:36:06 UTC",36.1122,-117.6138,1.1,13.30,12,"Central California"
nc,71932030,2,"Tuesday, February  5, 2013 19:33:17 UTC",37.5708,-122.5208,1.1,10.00,13,"offshore Northern California"
pr,13036003,0,"Tuesday, February  5, 2013 19:11:12 UTC",19.2483,-66.2475,3.3,66.00,12,"Puerto Rico region"
us,c000f1jd,5,"Tuesday, February  5, 2013 19:09:37 UTC",-62.3050,155.0730,5.0,32.80,54,"Balleny Islands region"
nc,71932020,1,"Tuesday, February  5, 2013 18:48:17 UTC",37.3892,-118.6763,1.4,13.70,19,"Central California"
pr,13036004,0,"Tuesday, February  5, 2013 18:40:34 UTC",19.7210,-68.5426,3.6,41.00, 9,"Dominican Republic region"
ci,15281681,0,"Tuesday, February  5, 2013 18:33:33 UTC",33.3757,-116.3623,1.8,7.00,84,"Southern California"
ci,15281673,0,"Tuesday, February  5, 2013 18:31:05 UTC",34.0688,-117.2338,1.4,14.80,42,"Greater Los Angeles area, California"
ak,10650841,2,"Tuesday, February  5, 2013 18:28:47 UTC",53.3255,-166.4600,2.4,25.60,20,"Fox Islands, Aleutian Islands, Alaska"
nc,71932010,0,"Tuesday, February  5, 2013 18:24:41 UTC",37.3912,-118.6760,1.5,12.70,19,"Central California"
us,c000f1hr,9,"Tuesday, February  5, 2013 18:18:31 UTC",36.4828,70.5766,4.8,214.90,174,"Hindu Kush region, Afghanistan"
nc,71931990,0,"Tuesday, February  5, 2013 18:01:06 UTC",37.3928,-118.6760,1.4,12.70,19,"Central California"
ci,15281665,0,"Tuesday, February  5, 2013 17:51:19 UTC",34.6810,-117.2940,2.1,1.40,24,"Southern California"
ak,10650816,1,"Tuesday, February  5, 2013 17:32:32 UTC",62.7865,-143.3544,1.9,0.10,14,"Central Alaska"
us,c000f1g1,4,"Tuesday, February  5, 2013 17:30:49 UTC",-22.6817,-68.9683,4.4,84.10,27,"Antofagasta, Chile"
nc,71931960,3,"Tuesday, February  5, 2013 17:25:54 UTC",38.8275,-122.8005,2.2,2.60,68,"Northern California"
ak,10650790,1,"Tuesday, February  5, 2013 17:10:30 UTC",59.3207,-152.6572,2.7,49.70,15,"Southern Alaska"
ci,15281649,0,"Tuesday, February  5, 2013 17:05:29 UTC",33.9692,-117.2237,2.2,13.30,135,"Greater Los Angeles area, California"
nn,00401866,9,"Tuesday, February  5, 2013 16:47:20 UTC",38.2137,-117.9784,1.9,16.00, 5,"Nevada"
nc,71935641,1,"Tuesday, February  5, 2013 16:43:38 UTC",37.8212,-122.0633,2.0,7.40,29,"San Francisco Bay area, California"
us,2013lgal,4,"Tuesday, February  5, 2013 16:38:01 UTC",55.4425,-35.0325,4.9,5.80,179,"Reykjanes Ridge"
ak,10650768,1,"Tuesday, February  5, 2013 16:35:55 UTC",60.0933,-151.0126,1.8,51.90,14,"Kenai Peninsula, Alaska"
ak,10650761,1,"Tuesday, February  5, 2013 16:29:12 UTC",63.3249,-145.3243,1.0,20.20, 6,"Central Alaska"
us,c000f1e6,8,"Tuesday, February  5, 2013 16:15:31 UTC",28.8017,128.5949,5.0,57.30,125,"Ryukyu Islands, Japan"
ak,10650751,1,"Tuesday, February  5, 2013 16:00:35 UTC",59.8920,-152.2588,2.3,105.40,19,"Southern Alaska"
ci,15281585,0,"Tuesday, February  5, 2013 15:52:38 UTC",33.3505,-117.2935,1.3,4.80,15,"Southern California"
nn,00401864,9,"Tuesday, February  5, 2013 15:46:40 UTC",39.4121,-119.9213,1.1,6.70,27,"Nevada"
ak,10650745,1,"Tuesday, February  5, 2013 15:41:20 UTC",63.1461,-150.3727,1.8,107.50,16,"Central Alaska"
us,c000f1e5,6,"Tuesday, February  5, 2013 15:40:08 UTC",-56.1381,-25.2307,5.0,48.90,24,"South Sandwich Islands region"
ak,10650739,1,"Tuesday, February  5, 2013 15:27:27 UTC",59.7747,-153.2343,2.6,134.80,26,"Southern Alaska"
nc,71935606,2,"Tuesday, February  5, 2013 14:43:35 UTC",40.8143,-123.4602,2.0,29.00, 9,"Northern California"
ak,10650733,1,"Tuesday, February  5, 2013 14:43:29 UTC",62.0591,-145.2414,1.7,17.00, 6,"Central Alaska"
