"_time","bc_uri","closed_txn",duration,"field_match_sum",linecount,"device_ip_country_code","device_ip_country_name","device_ip_city","device_ip_region_name","device_ip_latitude","device_ip_longitude","device_ip_postal_code","geo_info","artist_id","artist_name",bytes,clientip,eventcount,eventtype,mdn,sourcetype,status,timeTaken,"track_id","track_name"
"2013-01-23 15:59:19.445 PST","/sync/addtolibrary/01011207201000005652000000000017",1,"0.094658",3,3,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"Snoop Dogg",2531,"108.106.227.179",3,"ua-mobile-android",5558935490,"access_custom radius",200,239,01011207201000005652000000000017,"Young Wild & Free"
"2013-01-23 15:59:01.357 PST","/sync/addtolibrary/01011207201000005652000000000026",1,"0.129028",3,3,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"Cobra Starship",3678,"10.174.58.87",3,"ua-mobile-iphone",5555022781,"access_custom radius",200,537,01011207201000005652000000000026,"You Make Me Feel"
"2013-01-23 15:58:58.337 PST","/sync/addtolibrary/01011207201000005652000000000018",1,"0.140092",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Flo Rida",2523,"10.185.148.20",3,"ua-mobile-ipad ua-mobile-iphone",5557065509,"access_custom radius",200,350,01011207201000005652000000000018,"Good Feeling"
"2013-01-23 15:58:57.337 PST","/sync/addtolibrary/01011207201000005652000000000011",1,"0.171962",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"J.Cole",2562,"10.148.17.16",3,"ua-mobile-android",5554278541,"access_custom radius",200,622,01011207201000005652000000000011,"Work Out"
"2013-01-23 15:58:57.337 PST","/sync/addtolibrary/01011207201000005652000000000037",1,"0.101196",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Big Sean",2958,"10.86.7.223",3,"ua-mobile-android",5552560481,"access_custom radius",200,332,01011207201000005652000000000037,Dance
"2013-01-23 15:58:51.530 PST","/sync/addtolibrary/01011207201000005652000000000047 /sync/createplaylist",1,"0.100474",5,5,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"Bruno Mars",1488,"10.91.215.193",5,"ua-mobile-iphone",5556374832,"access_custom radius","200 503",468,01011207201000005652000000000047,"It Will Rain"
"2013-01-23 15:58:42.190 PST","/sync/addtolibrary/01011207201000005652000000000007",1,"0.087982",3,3,US,"United States",Static,TN,"36.621700000000004","-85.0861",,"Static, United States",,"Jay Z Kanye West",2352,"10.177.122.209",3,"ua-mobile-android",5556581781,"access_custom radius",200,578,01011207201000005652000000000007,"Ninjas in Paris"
"2013-01-23 15:58:39.169 PST","/sync/addtolibrary/01011207201000005652000000000068",1,"0.1396",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,LMFAO,1900,"10.152.116.119",3,"ua-mobile-ipad",5555520055,"access_custom radius",200,526,01011207201000005652000000000068,"Sexy And I Know It"
"2013-01-23 15:58:35.148 PST","/sync/addtolibrary/01011207201000005652000000000011",1,"0.019345",3,3,US,"United States",Denver,CO,"39.7388","-104.4083",80208,"Denver, United States",,"J.Cole",2821,"10.85.157.9",3,"ua-mobile-iphone",5553525787,"access_custom radius",200,109,01011207201000005652000000000011,"Work Out"
"2013-01-23 15:58:27.135 PST","/browse/tracks/01011207201000005652000000000031 /sync/addtolibrary/01011207201000005652000000000003",1,"3.088936",6,6,US,"United States",Denver,CO,"39.7388","-104.4083",80208,"Denver, United States",,"Drake Katy Perry","1161 1488","10.85.105.94",6,"ua-mobile-iphone ua-mobile-ipod","5553550742 5556685507","access_custom radius","200 503","468 778","01011207201000005652000000000003 01011207201000005652000000000031","Headlines The One That Got Away"
"2013-01-23 15:58:25.102 PST","/sync/addtolibrary/01011207201000005652000000000007",1,"0.113611",3,3,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"Jay Z Kanye West",620,"10.159.88.132",3,"ua-mobile-android",5559960266,"access_custom radius",200,804,01011207201000005652000000000007,"Ninjas in Paris"
"2013-01-23 15:58:22.082 PST","/sync/addtolibrary/01011207201000005652000000000026",1,"0.172571",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Cobra Starship",2699,"10.85.33.246",3,"ua-mobile-android",5555520932,"access_custom radius",200,218,01011207201000005652000000000026,"You Make Me Feel"
"2013-01-23 15:58:11.015 PST","/sync/addtolibrary/01011207201000005652000000000083",1,"0.134345",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Toby Keith",866,"10.173.185.64",3,"ua-mobile-ipod",5557970692,"access_custom radius",200,991,01011207201000005652000000000083,"Red Solo Cup"
"2013-01-23 15:58:06.993 PST","/browse/artist/0027 /sync/addtolibrary/01011207201000005652000000000083",1,"19.273075",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",0027,"Toby Keith","1109 2003","10.95.233.119",6,"ua-mobile-blackberry ua-mobile-ipad","5555680076 5558638661","access_custom radius",200,"543 814",01011207201000005652000000000083,"Red Solo Cup"
"2013-01-23 15:58:04.993 PST","/sync/addtolibrary/01011207201000005652000000000083",1,"0.119514",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Toby Keith",2431,"10.145.220.199",3,"ua-mobile-android",5553094374,"access_custom radius",200,859,01011207201000005652000000000083,"Red Solo Cup"
"2013-01-23 15:57:54.929 PST","/browse/search/T-Pain /sync/addtolibrary/01011207201000005652000000000007",1,"41.353853",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Jay Z Kanye West","1606 285","10.157.52.116",6,"ua-mobile-blackberry ua-mobile-ipad ua-mobile-iphone","5553350609 5557660601","access_custom radius",200,"295 467",01011207201000005652000000000007,"Ninjas in Paris"
"2013-01-23 15:57:21.413 PST","/sync/addtolibrary/01011207201000005652000000000025",1,"0.04992",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,,1751,"10.169.212.193",3,"ua-mobile-blackberry",5556078837,"access_custom radius",200,767,01011207201000005652000000000025,
"2013-01-23 15:57:16.386 PST","/sync/addtolibrary/01011207201000005652000000000047",1,"0.091287",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Bruno Mars",3796,"10.147.164.143",3,"ua-mobile-android",5558150968,"access_custom radius",200,398,01011207201000005652000000000047,"It Will Rain"
"2013-01-23 15:57:01.300 PST","/sync/addtolibrary/01011207201000005652000000000003",1,"0.159703",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,Drake,2140,"10.89.29.115",3,"ua-mobile-ipad",5554087740,"access_custom radius",200,990,01011207201000005652000000000003,Headlines
"2013-01-23 15:56:56.275 PST","/sync/addtolibrary/01011207201000005652000000000011",1,"0.114604",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"J.Cole",2679,"10.88.63.200",3,"ua-mobile-android",5558920996,"access_custom radius",200,236,01011207201000005652000000000011,"Work Out"
"2013-01-23 15:56:51.233 PST","/sync/addtolibrary/01011207201000005652000000000013",1,"0.106754",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,Adele,830,"10.120.109.82",3,"ua-mobile-android",5552928425,"access_custom radius",200,521,01011207201000005652000000000013,"Someone Like You"
"2013-01-23 15:56:19.937 PST","/sync/addtolibrary/01011207201000005652000000000084",1,"0.089793",3,3,US,"United States",Static,TN,"36.621700000000004","-85.0861",,"Static, United States",,"Gavin DeGraw",3376,"10.150.91.103",3,"ua-mobile-iphone",5558851093,"access_custom radius",200,701,01011207201000005652000000000084,"Not Over You"
"2013-01-23 15:56:19.937 PST","/sync/addtolibrary/01011207201000005652000000000017",1,"0.12166",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Snoop Dogg",808,"10.178.1.102",3,"ua-mobile-ipad ua-mobile-iphone",5552000229,"access_custom radius",200,176,01011207201000005652000000000017,"Young Wild & Free"
"2013-01-23 15:56:14.883 PST","/ads/showbanner /sync/addtolibrary/01011207201000005652000000000014",1,"1.127339",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Luke Bryan","1039 3202","10.89.7.165",6,"ua-mobile-iphone","5553581943 5559651635","access_custom radius",200,"304 698",01011207201000005652000000000014,"I Don't Want This Night To End"
"2013-01-23 15:55:55.747 PST","/sync/addtolibrary/01011207201000005652000000000011",1,"0.180105",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"J.Cole",2986,"10.147.9.147",3,"ua-mobile-iphone",5556890861,"access_custom radius",200,152,01011207201000005652000000000011,"Work Out"
"2013-01-23 15:55:55.747 PST","/sync/addtolibrary/01011207201000005652000000000055",1,"0.157183",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Kelly Clarkson",1495,"10.175.0.116",3,"ua-mobile-iphone",5556625625,"access_custom radius",200,934,01011207201000005652000000000055,"Mr. Know It All"
"2013-01-23 15:55:54.728 PST","/browse/tracks/01011207201000005652000000000013 /sync/addtolibrary/01011207201000005652000000000003",1,"1.202887",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Adele Drake","269 576","10.120.137.110",6,"ua-mobile-android ua-mobile-iphone","5552087114 5553048905","access_custom radius",200,"802 812","01011207201000005652000000000003 01011207201000005652000000000013","Headlines Someone Like You"
"2013-01-23 15:55:48.707 PST","/ads/showbanner /sync/addtolibrary/01011207201000005652000000000071",1,"58.681047",6,6,US,"United States",Denver,CO,"39.7388","-104.4083",80208,"Denver, United States",,"Foster The People","1546 1710","10.179.138.161",6,"ua-mobile-android ua-mobile-iphone","5555750129 5559631398","access_custom radius",200,"324 702",01011207201000005652000000000071,"Pumped Up Kicks"
"2013-01-23 15:55:47.707 PST","/sync/addtolibrary/01011207201000005652000000000053",1,"0.18821",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Maroon 5",580,"10.179.193.254",3,"ua-mobile-ipad",5553141973,"access_custom radius",200,211,01011207201000005652000000000053,"Moves Like Jagger"
"2013-01-23 15:55:37.644 PST","/browse/artist/007 /sync/addtolibrary/01011207201000005652000000000014 /sync/createplaylist",1,"55.576042",9,9,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",007,"Luke Bryan","275 2947 3204","10.120.251.250",9,"ua-mobile-ipad ua-mobile-iphone","5554354010 5555520932 5558751138","access_custom radius",200,"141 470 843",01011207201000005652000000000014,"I Don't Want This Night To End"
"2013-01-23 15:55:19.562 PST","/browse/artist/0022 /sync/addtolibrary/01011207201000005652000000000068",1,"32.222704",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",0022,LMFAO,"1418 3672","10.175.161.179",6,"ua-mobile-blackberry ua-mobile-iphone","5554621247 5557129269","access_custom radius",200,"300 925",01011207201000005652000000000068,"Sexy And I Know It"
"2013-01-23 15:55:18.541 PST","/sync/addtolibrary/01011207201000005652000000000068",1,"0.104546",3,3,US,"United States",Denver,CO,"39.7388","-104.4083",80208,"Denver, United States",,LMFAO,3949,"10.172.22.224",3,"ua-mobile-ipod",5556896328,"access_custom radius",200,688,01011207201000005652000000000068,"Sexy And I Know It"
"2013-01-23 15:55:08.499 PST","/sync/addtolibrary/01011207201000005652000000000047",1,"0.185172",3,3,US,"United States",Denver,CO,"39.7388","-104.4083",80208,"Denver, United States",,"Bruno Mars",382,"10.87.82.118",3,"ua-mobile-iphone",5553919201,"access_custom radius",200,840,01011207201000005652000000000047,"It Will Rain"
"2013-01-23 15:54:57.438 PST","/sync/addtolibrary/01011207201000005652000000000071",1,"0.041873",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Foster The People",3853,"10.88.34.250",3,"ua-mobile-android",5558474082,"access_custom radius",200,350,01011207201000005652000000000071,"Pumped Up Kicks"
"2013-01-23 15:54:47.379 PST","/sync/addtolibrary/01011207201000005652000000000011",1,"0.0874",3,3,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"J.Cole",2051,"10.174.187.15",3,"ua-mobile-android",5557443407,"access_custom radius",200,421,01011207201000005652000000000011,"Work Out"
"2013-01-23 15:54:45.359 PST","/sync/addtolibrary/01011207201000005652000000000053",1,"0.179398",3,3,US,"United States",Austin,TX,"30.267200000000003","-97.7431",,"Austin, United States",,"Maroon 5",2313,"10.179.236.5",3,"ua-mobile-android",5555203745,"access_custom radius",200,996,01011207201000005652000000000053,"Moves Like Jagger"
"2013-01-23 15:54:23.226 PST","/sync/addtolibrary/01011207201000005652000000000026",1,"0.043829",3,3,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"Cobra Starship",1239,"10.174.181.136",3,"ua-mobile-android",5554400905,"access_custom radius",200,423,01011207201000005652000000000026,"You Make Me Feel"
"2013-01-23 15:54:16.174 PST","/browse/artist/0013 /sync/addtolibrary/01011207201000005652000000000011",1,"3.214738",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",0013,"J.Cole","2305 2588","10.84.22.59",6,"ua-mobile-android ua-mobile-iphone","5557155799 5558533825","access_custom radius",200,"303 721",01011207201000005652000000000011,"Work Out"
"2013-01-23 15:54:14.095 PST","/sync/addtolibrary/01011207201000005652000000000084",1,"0.054777",3,3,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Gavin DeGraw",2012,"10.88.59.8",3,"ua-mobile-android",5554352852,"access_custom radius",200,310,01011207201000005652000000000084,"Not Over You"
"2013-01-23 15:54:10.067 PST","/browse/tracks/01011207201000005652000000000049 /browse/tracks/01011207201000005652000000000055 /sync/addtolibrary/01011207201000005652000000000047 /sync/createplaylist",1,"34.399731",11,11,US,"United States",Arcadia,CA,"34.139700000000005","-118.0353",,"Arcadia, United States",,"Bruno Mars Kelly Clarkson Rihanna","1488 2628 3613","10.187.6.61",11,"ua-mobile-iphone","5552275314 5553235675 5556374832","access_custom radius","200 503","258 468 962","01011207201000005652000000000047 01011207201000005652000000000049 01011207201000005652000000000055","It Will Rain Mr. Know It All You Da One"
"2013-01-23 15:54:04.047 PST","/auth/5552243212 /sync/addtolibrary/01011207201000005652000000000014",1,"12.313015",6,6,US,"United States",Tilton,NH,"43.43289999999999","-71.5682",03276,"Tilton, United States",,"Luke Bryan","2892 3084","10.121.245.92",6,"ua-mobile-android ua-mobile-ipad ua-mobile-iphone","5552243212 5554391346","access_custom radius",200,"186 605",01011207201000005652000000000014,"I Don't Want This Night To End"
